20.12.2018 20:46:50,"1","3"
20.12.2018 20:47:5,"1","3"
20.12.2018 20:56:2,"1","3"
20.12.2018 20:56:7,"1","3"
20.12.2018 20:56:12,"1","3"
20.12.2018 20:56:17,"1","3"
20.12.2018 20:56:22,"1","3"
20.12.2018 20:56:27,"1","3"
20.12.2018 20:56:32,"1","3"
20.12.2018 20:56:37,"1","3"
20.12.2018 20:56:42,"1","3"
20.12.2018 20:56:47,"1","3"
20.12.2018 20:56:52,"1","3"
20.12.2018 20:56:57,"1","3"
20.12.2018 20:57:2,"1","3"
20.12.2018 20:57:7,"1","3"
20.12.2018 20:57:12,"1","3"
20.12.2018 20:57:17,"1","3"
20.12.2018 20:57:22,"1","3"
20.12.2018 20:57:27,"1","3"
20.12.2018 20:57:32,"1","3"
20.12.2018 20:57:37,"1","3"
20.12.2018 20:57:42,"1","3"
20.12.2018 20:57:47,"1","3"
20.12.2018 20:57:52,"1","3"
20.12.2018 20:57:57,"1","3"
20.12.2018 20:58:2,"1","3"
20.12.2018 20:58:7,"1","3"
20.12.2018 20:58:12,"1","3"
20.12.2018 20:58:17,"1","3"
20.12.2018 20:58:22,"1","3"
20.12.2018 20:58:27,"1","3"
20.12.2018 20:58:32,"1","3"
20.12.2018 20:58:37,"1","3"
20.12.2018 20:58:42,"1","3"
20.12.2018 20:58:47,"1","3"
20.12.2018 20:58:52,"1","3"
20.12.2018 20:58:57,"1","3"
20.12.2018 20:59:2,"1","3"
20.12.2018 20:59:7,"1","3"
20.12.2018 20:59:12,"1","3"
20.12.2018 20:59:17,"1","3"
20.12.2018 20:59:22,"1","3"
20.12.2018 20:59:27,"1","3"
20.12.2018 20:59:32,"1","3"
20.12.2018 20:59:37,"1","3"
20.12.2018 20:59:42,"1","3"
20.12.2018 20:59:47,"1","3"
20.12.2018 20:59:52,"1","3"
20.12.2018 20:59:57,"1","3"
20.12.2018 21:0:2,"1","3"
20.12.2018 21:0:7,"1","3"
20.12.2018 21:0:12,"1","3"
20.12.2018 21:0:17,"1","3"
20.12.2018 21:0:22,"1","3"
20.12.2018 21:0:27,"1","3"
20.12.2018 21:0:32,"1","3"
20.12.2018 21:0:37,"1","3"
20.12.2018 21:0:42,"1","3"
20.12.2018 21:0:47,"1","3"
20.12.2018 21:0:52,"1","3"
20.12.2018 21:0:57,"1","3"
20.12.2018 21:1:2,"1","3"
20.12.2018 21:1:7,"1","3"
20.12.2018 21:1:12,"1","3"
20.12.2018 21:1:17,"1","3"
20.12.2018 21:1:22,"1","3"
20.12.2018 21:1:27,"1","3"
20.12.2018 21:1:32,"1","3"
20.12.2018 21:1:37,"1","3"
20.12.2018 21:1:42,"1","3"
20.12.2018 21:1:47,"1","3"
20.12.2018 21:1:52,"1","3"
20.12.2018 21:1:57,"1","3"
20.12.2018 21:2:2,"1","3"
20.12.2018 21:2:7,"1","3"
20.12.2018 21:2:12,"1","3"
20.12.2018 21:2:17,"1","3"
20.12.2018 21:2:22,"1","3"
20.12.2018 21:2:27,"1","3"
20.12.2018 21:2:32,"1","3"
20.12.2018 21:2:37,"1","3"
20.12.2018 21:2:42,"1","3"
20.12.2018 21:2:47,"1","3"
